code,name,account_type,currency,opening_balance
1322,Långfristiga fordringar hos dotterföretag,asset,SEK,0
1323,Långfristiga fordringar hos andra koncernföretag,asset,SEK,0
1328,Ackumulerade nedskrivningar av långfristiga fordringar hos koncernföretag,asset,SEK,0
1330,Andelar i intresseföretag och gemensamt styrda företag samt övriga företag som det finns ett ägarintresse i,asset,SEK,0
1331,Andelar i intresseföretag,asset,SEK,0
1332,Ackumulerade nedskrivningar av andelar i intresseföretag,asset,SEK,0
1333,Andelar i gemensamt styrda företag,asset,SEK,0
1334,Ackumulerade nedskrivningar av andelar i gemensamt styrda företag,asset,SEK,0
1336,Andelar i övriga företag som det finns ett ägarintresse i,asset,SEK,0
1337,Ackumulerade nedskrivningar av andelar i övriga företag som det finns ett ägarintresse i,asset,SEK,0
1338,"Ackumulerade nedskrivningar av andelar i intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i",asset,SEK,0
1340,Långfristiga fordringar hos intresseföretag och gemensamt styrda företag samt övriga företag som det finns ett ägarintresse i,asset,SEK,0
1341,Långfristiga fordringar hos intresseföretag,asset,SEK,0
1342,Ackumulerade nedskrivningar av långfristiga fordringar hos intresseföretag,asset,SEK,0
1343,Långfristiga fordringar hos gemensamt styrda företag,asset,SEK,0
1344,Ackumulerade nedskrivningar av långfristiga fordringar hos gemensamt styrda företag,asset,SEK,0
1346,Långfristiga fordringar hos övriga företag som det finns ett ägarintresse i,asset,SEK,0
1347,Ackumulerade nedskrivningar av långfristiga fordringar hos övriga företag som det finns ett ägarintresse i,asset,SEK,0
1348,"Ackumulerade nedskrivningar av långfristiga fordringar hos intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i",asset,SEK,0
1350,Andra långfristiga värdepappersinnehav,asset,SEK,0
1351,Andelar i noterade företag,asset,SEK,0
1352,Andra andelar,asset,SEK,0
1353,Andelar i bostadsrättsföreningar,asset,SEK,0
1354,Obligationer,asset,SEK,0
1356,Andelar i ekonomiska föreningar,asset,SEK,0
1357,Andelar i handelsbolag,asset,SEK,0
1358,Ackumulerade nedskrivningar av andra långfristiga värdepappersinnehav,asset,SEK,0
1360,"Lån till delägare eller närstående, långfristig del",asset,SEK,0
1369,"Ackumulerade nedskrivningar av lån till delägare eller närstående, långfristig del",asset,SEK,0
1370,Uppskjuten skattefordran,asset,SEK,0
1380,Andra långfristiga fordringar,asset,SEK,0
1381,Långfristiga reversfordringar,asset,SEK,0
1382,Långfristiga fordringar hos anställda,asset,SEK,0
1383,"Lämnade depositioner, långfristiga",asset,SEK,0
1384,Derivat,asset,SEK,0
1385,Kapitalförsäkring,asset,SEK,0
1387,Långfristiga kontraktsfordringar,asset,SEK,0
1388,Långfristiga kundfordringar,asset,SEK,0
1389,Ackumulerade nedskrivningar av andra långfristiga fordringar,asset,SEK,0
1410,Lager av råvaror,asset,SEK,0
1419,Förändring av lager av råvaror,asset,SEK,0
1420,Lager av tillsatsmaterial och förnödenheter,asset,SEK,0
1429,Förändring av lager av tillsatsmaterial och förnödenheter,asset,SEK,0
1430,Lager av halvfabrikat,asset,SEK,0
1440,Produkter i arbete,asset,SEK,0
1449,Förändring av produkter i arbete,asset,SEK,0
1450,Lager av färdiga varor,asset,SEK,0
1459,Förändring av lager av färdiga varor,asset,SEK,0
1460,Lager av handelsvaror,asset,SEK,0
1465,Lager av varor VMB,asset,SEK,0
1466,Nedskrivning av varor VMB,asset,SEK,0
1467,Lager av varor VMB förenklad,asset,SEK,0
1469,Förändring av lager av handelsvaror,asset,SEK,0
1470,Pågående arbeten,asset,SEK,0
1471,"Pågående arbeten, nedlagda kostnader",asset,SEK,0
1478,"Pågående arbeten, fakturering",asset,SEK,0
1479,Förändring av pågående arbeten,asset,SEK,0
1480,Förskott för varor och tjänster,asset,SEK,0
1481,Remburser,asset,SEK,0
1489,Övriga förskott till leverantörer,asset,SEK,0
1490,Övriga lagertillgångar,asset,SEK,0
1491,Lager av värdepapper,asset,SEK,0
1492,Lager av fastigheter,asset,SEK,0
1493,Djur som klassificeras som omsättningstillgång,asset,SEK,0
1510,Kundfordringar,asset,SEK,0
1511,Kundfordringar,asset,SEK,0
1512,Belånade kundfordringar (factoring),asset,SEK,0
1513,Kundfordringar - delad faktura,asset,SEK,0
